date,currp,openp,highp,lowp,change
2017_ 05_ 24_,1126.67,1125.50,1127.80,1124.26,0.00
2017_ 05_ 23_,1125.46,1115.03,1126.47,1114.40,0.01
2017_ 05_ 22_,1116.04,1117.15,1119.90,1113.48,0.00
2017_ 05_ 19_,1117.62,1128.19,1131.97,1114.75,-0.01
2017_ 05_ 18_,1129.19,1122.05,1134.39,1121.55,0.01
2017_ 05_ 17_,1123.06,1115.06,1123.26,1114.06,0.01
2017_ 05_ 16_,1116.06,1117.11,1120.33,1112.95,0.00
2017_ 05_ 15_,1118.12,1122.36,1128.04,1114.64,0.00
2017_ 05_ 12_,1123.41,1123.41,1130.65,1120.99,0.00
2017_ 05_ 11_,1124.41,1131.05,1134.95,1122.57,-0.01
2017_ 05_ 10_,1132.05,1138.15,1139.53,1130.47,-0.01
2017_ 05_ 09_,1139.15,1132.69,1140.73,1132.05,0.00
2017_ 05_ 08_,1133.69,1134.15,1138.15,1129.33,0.00
2017_ 05_ 05_,1135.71,1134.59,1142.13,1134.52,0.00
2017_ 05_ 04_,1135.60,1132.95,1137.08,1128.69,0.00
2017_ 05_ 03_,1133.95,1128.20,1134.48,1127.35,0.00
2017_ 05_ 02_,1129.20,1136.60,1137.89,1126.15,-0.01
2017_ 05_ 01_,1137.60,1136.74,1140.08,1134.51,0.00
2017_ 04_ 28_,1137.88,1130.65,1141.36,1128.21,0.01
2017_ 04_ 27_,1131.65,1132.03,1136.48,1127.45,0.00
2017_ 04_ 26_,1133.03,1127.23,1137.39,1120.90,0.00
2017_ 04_ 25_,1128.23,1133.38,1137.45,1123.25,-0.01
2017_ 04_ 24_,1134.38,1133.71,1139.79,1125.08,0.00
2017_ 04_ 21_,1134.57,1137.11,1140.90,1131.90,0.00
2017_ 04_ 20_,1138.12,1142.69,1145.31,1134.56,0.00
2017_ 04_ 19_,1143.69,1141.64,1144.65,1136.80,0.00
2017_ 04_ 18_,1142.64,1132.01,1148.82,1131.49,0.01
2017_ 04_ 17_,1133.02,1135.33,1139.62,1130.41,0.00
2017_ 04_ 14_,1136.45,1135.32,1142.08,1134.40,0.00
2017_ 04_ 13_,1136.32,1133.95,1138.90,1125.19,0.00
2017_ 04_ 12_,1134.95,1144.63,1150.30,1133.49,-0.01
2017_ 04_ 11_,1145.63,1142.47,1150.61,1140.17,0.00
2017_ 04_ 10_,1143.47,1136.92,1144.82,1135.99,0.00
2017_ 04_ 07_,1137.89,1130.29,1140.81,1129.44,0.01
2017_ 04_ 06_,1131.30,1127.27,1135.04,1125.77,0.00
2017_ 04_ 05_,1128.28,1124.09,1129.15,1120.97,0.00
2017_ 04_ 04_,1125.10,1116.27,1127.22,1115.79,0.01
2017_ 04_ 03_,1117.28,1115.90,1119.54,1111.26,0.00
2017_ 03_ 31_,1117.65,1117.59,1122.68,1115.14,0.00
2017_ 03_ 30_,1118.60,1110.47,1119.81,1109.19,0.01
2017_ 03_ 29_,1111.47,1115.41,1117.31,1109.79,0.00
2017_ 03_ 28_,1116.41,1110.31,1117.15,1109.89,0.00
2017_ 03_ 27_,1111.32,1116.14,1117.58,1105.64,-0.01
2017_ 03_ 24_,1117.56,1121.68,1125.61,1112.49,0.00
2017_ 03_ 23_,1122.68,1116.28,1124.64,1115.79,0.00
2017_ 03_ 22_,1117.28,1122.03,1127.60,1115.59,-0.01
2017_ 03_ 21_,1123.03,1113.51,1124.31,1113.09,0.01
2017_ 03_ 20_,1114.52,1128.04,1131.31,1111.58,-0.01
2017_ 03_ 17_,1129.04,1127.81,1134.14,1126.39,0.00
2017_ 03_ 16_,1128.82,1127.61,1134.70,1124.85,0.00
2017_ 03_ 15_,1128.62,1148.97,1150.84,1126.59,-0.02
2017_ 03_ 14_,1149.97,1146.59,1151.20,1144.35,0.00
2017_ 03_ 13_,1147.99,1147.72,1153.01,1142.75,0.00
2017_ 03_ 10_,1148.81,1159.09,1162.03,1147.19,-0.01
2017_ 03_ 09_,1160.10,1153.79,1161.45,1152.09,0.00
2017_ 03_ 08_,1155.19,1149.67,1156.88,1142.27,0.00
